"date","tempmax","tempmin","dew_point","humidity","rain","pop","pressure","clouds","solarradiation","solarenergy","uvi","tempmean","tempdiurnal"
1973-04-16,"20","8.1","9.6","78.1","","0","","60","","","","14.05","11.9"
1973-04-17,"16","10.1","10.7","82.7","","0","","96.7","","","","13.05","5.9"
1973-04-18,"19","10.1","8.6","72.8","","0","","90","","","","14.55","8.9"
1973-04-19,"21","11.1","8.6","62.9","","0","","50","","","","16.05","9.9"
1973-04-20,"20","20","7","42.9","","0","","80","","","","20","0"
1973-04-21,"","","","","","","","","","","","",""
1973-04-22,"19.1","11.1","6.1","59.4","","0","","30","","","","15.1","8"
1973-04-23,"20.1","9.1","5.1","59.9","","0","","30","","","","14.6","11"
1973-04-24,"19.1","19.1","4.1","37.1","","0","","10","","","","19.1","0"
1973-04-25,"21.1","8.1","3.6","56.8","","0","959.2","5","","","","14.6","13"
1973-04-26,"23","12.1","-1.4","30.6","","0","","50","","","","17.55","10.9"
1973-04-27,"18.1","7.1","5.1","63.3","","0","","15","","","","12.6","11"
1973-04-28,"19.1","8.1","8.1","69.6","","0","","28","","","","13.6","11"
1973-04-29,"21","13.1","7.7","54","","0","","6.7","","","","17.05","7.9"
1973-04-30,"23","19.1","6.1","38","","0","","50","","","","21.05","3.9"
1973-05-01,"13.1","13.1","12.1","93.7","","0","","90","","","","13.1","0"
1973-05-02,"19","11.1","6.4","63.2","","0","","16.7","","","","15.05","7.9"
1973-05-03,"17","1.1","-4.9","53.9","","0","","0","","","","9.05","15.9"
1973-05-04,"17","8.1","8.4","84.3","","0","","70","","","","12.55","8.9"
1973-05-05,"20","3.1","-3.9","35.7","","0","","0","","","","11.55","16.9"
1973-05-06,"20.1","10.1","3.3","45.6","","0","","0","","","","15.1","10"
1973-05-07,"21","8.1","6.3","61.4","","0","","45","","","","14.55","12.9"
1973-05-08,"25","10","4.7","52.7","","0","","0","","","","17.5","15"
1973-05-09,"22","11.1","7.8","59.1","","0","","12.5","","","","16.55","10.9"
1973-05-10,"24.1","10.1","3.4","36.7","","0","","0","","","","17.1","14"
1973-05-11,"20","9.1","6.9","60.4","","0","","0","","","","14.55","10.9"
1973-05-12,"23","11.1","5.7","53.7","","0","","0","","","","17.05","11.9"
1973-05-13,"22","11.1","5.1","47.9","","0","","20","","","","16.55","10.9"
1973-05-14,"20.1","8.1","4.6","55.9","","0","","5","","","","14.1","12"
1973-05-15,"24","24","4.1","27.3","","0","","30","","","","24","0"
1973-05-16,"23","23","-1.9","18.8","","0","","0","","","","23","0"
1973-05-17,"24","10.1","0.8","42.9","","0","","30","","","","17.05","13.9"
1973-05-18,"22","8.1","-3.6","33.7","","0","","20","","","","15.05","13.9"
1973-05-19,"18.1","17","7.6","52.3","","0","","85","","","","17.55","1.1"
1973-05-20,"19","9.1","9.6","75.6","","0","","25","","","","14.05","9.9"
1973-05-21,"20","8.1","2.6","47.2","","0","","25","","","","14.05","11.9"
1973-05-22,"20","9.1","6.4","62.6","","0","","76.7","","","","14.55","10.9"
1973-05-23,"20","8.1","6.1","63.6","","0","","15","","","","14.05","11.9"
1973-05-24,"19","8.1","7.6","71.1","","0","","5","","","","13.55","10.9"
1973-05-25,"19","19","5","39.8","","0","","0","","","","19","0"
1973-05-26,"21","14.1","4.6","42.3","","0","","5","","","","17.55","6.9"
1973-05-27,"22","22","4","30.8","","0","","60","","","","22","0"
1973-05-28,"19","12.1","7.6","60.2","","0","","35","","","","15.55","6.9"
1973-05-29,"20","11","9","69.7","","0","","30","","","","15.5","9"
1973-05-30,"16","9.1","0.4","46.8","","0","","23.3","","","","12.55","6.9"
1973-05-31,"18.1","15","3.1","44.5","","0","","20","","","","16.55","3.1"
1973-06-01,"18","11.1","4.6","51.1","","0","","80","","","","14.55","6.9"
