date,tempmax,tempmin,dew_point,humidity,rain,pop,pressure,clouds,solarradiation,solarenergy,uvi,tempmean,tempdiurnal
1973-03-23,27.0,15.1,14.1,69.3,0.0,0.0,1020.28,70.0,229.9,19.9,8.0,21.05,11.9
1973-03-24,24.1,17.1,14.6,71.4,0.0,0.0,1022.22,82.5,246.08,21.300000000000004,8.2,20.6,7.0
1973-03-25,29.0,27.0,14.5,43.9,0.0,0.0,1020.8800000000001,75.0,228.34,19.7,8.0,28.0,2.0
1973-03-26,27.0,27.0,15.1,47.8,0.0,0.0,1020.0200000000001,90.0,206.71999999999997,17.84,7.8,27.0,0.0
1973-03-27,26.0,17.1,15.8,79.7,0.0,0.0,1022.24,87.5,136.88000000000002,11.819999999999999,4.8,21.55,8.9
1973-03-28,27.1,15.1,15.1,75.2,0.0,0.0,1021.9,73.3,172.38,14.940000000000001,6.6,21.1,12.0
1973-03-29,27.0,15.1,14.6,72.4,0.0,0.0,1023.14,60.0,185.04,16.080000000000002,8.8,21.05,11.9
1973-03-30,27.1,19.1,14.1,58.8,0.0,0.0,1019.8,85.0,232.92,20.1,8.4,23.1,8.0
1973-03-31,20.0,11.1,10.6,82.7,0.0,0.0,957.2,97.5,117.78000000000002,10.180000000000001,4.6,15.55,8.9
1973-04-01,21.0,15.0,11.0,62.0,0.0,0.0,1023.5799999999999,63.3,223.07999999999998,19.28,8.2,18.0,6.0
1973-04-02,23.0,15.1,12.1,68.5,0.0,0.0,1023.4399999999999,50.0,224.42,19.380000000000003,8.4,19.05,7.9
1973-04-03,26.0,26.0,13.1,44.6,0.0,0.0,1021.0600000000001,90.0,206.71999999999997,17.839999999999996,7.8,26.0,0.0
1973-04-04,21.1,15.1,12.6,69.7,0.0,0.0,1022.76,60.0,183.32,15.9,6.8,18.1,6.0
1973-04-05,26.0,15.1,12.8,60.5,0.0,0.0,1022.6,72.5,242.8,20.96,8.2,20.55,10.9
1973-04-06,25.0,19.1,13.4,58.4,0.0,0.0,1021.1,63.3,212.66,18.46,8.4,22.05,5.9
1973-04-07,14.1,13.1,13.1,96.9,0.0,0.0,1022.3399999999999,55.0,116.83999999999999,10.08,5.2,13.6,1.0
1973-04-08,20.0,13.1,12.1,78.1,0.0,0.0,1010.3400000000001,100.0,110.68000000000002,9.6,5.2,16.55,6.9
1973-04-09,21.0,15.1,10.1,60.7,0.0,0.0,1021.1,75.0,186.23999999999998,16.119999999999997,7.0,18.05,5.9
1973-04-10,20.1,9.1,10.3,72.1,0.0,0.0,1026.54,67.5,123.99999999999997,10.8,5.4,14.6,11.0
1973-04-11,12.1,10.1,10.1,91.6,0.0,0.0,1020.4399999999999,66.7,148.72,12.84,6.0,11.1,2.0
1973-04-12,21.0,12.1,11.1,72.0,0.0,0.0,1022.4200000000001,80.0,268.62,23.279999999999998,9.0,16.55,8.9
1973-04-13,21.0,11.1,8.3,69.3,0.0,0.0,1025.9599999999998,76.0,144.0,12.440000000000001,6.6,16.05,9.9
1973-04-14,22.1,22.1,8.1,40.6,0.0,0.0,992.18,30.0,256.71999999999997,22.259999999999998,8.2,22.1,0.0
1973-04-15,23.0,8.1,10.1,72.0,0.0,0.0,1023.9399999999999,30.0,163.1,14.059999999999999,7.0,15.55,14.9
1973-04-16,20.0,8.1,9.6,78.1,0.0,0.0,1027.68,60.0,123.66000000000001,10.68,5.4,14.05,11.9
1973-04-17,16.0,10.1,10.7,82.7,0.0,0.0,1011.7199999999999,96.7,107.04,9.28,5.0,13.05,5.9
1973-04-18,19.0,10.1,8.6,72.8,0.0,0.0,1025.28,90.0,169.88000000000002,14.66,6.6,14.55,8.9
1973-04-19,21.0,11.1,8.6,62.9,0.0,0.0,1013.5,50.0,207.94,17.96,7.4,16.05,9.9
1973-04-20,20.0,20.0,7.0,42.9,0.0,0.0,1023.5599999999998,80.0,205.56,17.759999999999998,7.6,20.0,0.0
1973-04-22,19.1,11.1,6.1,59.4,0.0,0.0,1022.68,30.0,188.14000000000001,16.220000000000002,7.2,15.1,8.0
1973-04-23,20.1,9.1,5.1,59.9,0.0,0.0,1024.58,30.0,214.94,18.5,7.6,14.6,11.0
1973-04-24,19.1,19.1,4.1,37.1,0.0,0.0,1021.9,10.0,238.9,20.560000000000002,8.4,19.1,0.0
1973-04-25,21.1,8.1,3.6,56.8,0.0,0.0,959.2,5.0,299.52000000000004,25.879999999999995,9.4,14.6,13.0
1973-04-26,23.0,12.1,-1.4,30.6,0.0,0.0,1022.4,50.0,247.87999999999997,21.34,8.4,17.55,10.9
1973-04-27,18.1,7.1,5.1,63.3,0.0,0.0,1026.8,15.0,166.04,14.26,6.6,12.6,11.0
1973-04-28,19.1,8.1,8.1,69.6,0.0,0.0,1027.48,28.0,142.92000000000002,12.38,6.2,13.6,11.0
1973-04-29,21.0,13.1,7.7,54.0,0.0,0.0,1012.68,6.7,239.52000000000004,20.759999999999998,8.4,17.05,7.9
1973-04-30,23.0,19.1,6.1,38.0,0.0,0.0,1022.2,50.0,208.52000000000004,17.98,7.6,21.05,3.9
1973-05-01,13.1,13.1,12.1,93.7,0.0,0.0,1025.08,90.0,116.9,10.16,5.2,13.1,0.0
1973-05-02,19.0,11.1,6.4,63.2,0.0,0.0,1025.98,16.7,141.14000000000001,12.180000000000001,5.8,15.05,7.9
1973-05-03,17.0,1.1,-4.9,53.9,0.0,0.0,1029.2,0.0,139.01999999999998,11.96,5.4,9.05,15.9
1973-05-04,17.0,8.1,8.4,84.3,0.0,0.0,1026.7599999999998,70.0,131.3,11.360000000000001,5.4,12.55,8.9
1973-05-05,20.0,3.1,-3.9,35.7,0.0,0.0,1025.02,0.0,169.66000000000003,14.62,6.4,11.55,16.9
1973-05-06,20.1,10.1,3.3,45.6,0.0,0.0,1027.9599999999998,0.0,187.23999999999998,16.16,7.0,15.1,10.0
1973-05-07,21.0,8.1,6.3,61.4,0.0,0.0,1026.2599999999998,45.0,159.49999999999997,13.76,6.2,14.55,12.9
1973-05-08,25.0,10.0,4.7,52.7,0.0,0.0,1026.1799999999998,0.0,164.94,14.219999999999999,6.4,17.5,15.0
1973-05-09,22.0,11.1,7.8,59.1,0.0,0.0,1024.04,12.5,165.8,14.34,6.4,16.55,10.9
1973-05-10,24.1,10.1,3.4,36.7,0.0,0.0,1022.5799999999999,0.0,187.88,16.16,6.8,17.1,14.0
1973-05-11,20.0,9.1,6.9,60.4,0.0,0.0,1029.04,0.0,109.66,9.459999999999999,4.8,14.55,10.9
