Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1991","1991","t","515074","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1992","1992","ha","21700","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1992","1992","100 g/ha","240286","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1992","1992","t","521421","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1993","1993","ha","23800","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1993","1993","100 g/ha","250203","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1993","1993","t","595483","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1994","1994","ha","22500","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1994","1994","100 g/ha","244845","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1994","1994","t","550901","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1995","1995","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1995","1995","100 g/ha","244029","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1995","1995","t","512460","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1996","1996","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1996","1996","100 g/ha","268053","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1996","1996","t","616521","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1997","1997","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1997","1997","100 g/ha","256397","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1997","1997","t","538434","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1998","1998","ha","22000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1998","1998","100 g/ha","261938","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1998","1998","t","576264","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","1999","1999","ha","24000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","1999","1999","100 g/ha","259865","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","1999","1999","t","623676","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2000","2000","ha","21522","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2000","2000","100 g/ha","279703","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2000","2000","t","601966","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2001","2001","ha","21476","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2001","2001","100 g/ha","286741","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2001","2001","t","615794","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2002","2002","ha","21204","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2002","2002","100 g/ha","293964","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2002","2002","t","623307","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2003","2003","ha","27126","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2003","2003","100 g/ha","301253","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2003","2003","t","817167","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2004","2004","ha","24845","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2004","2004","100 g/ha","308052","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2004","2004","t","765359","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2005","2005","ha","21326","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2005","2005","100 g/ha","318317","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2005","2005","t","678842","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2006","2006","ha","20633","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2006","2006","100 g/ha","307030","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2006","2006","t","633495","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2007","2007","ha","22000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2007","2007","100 g/ha","322014","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2007","2007","t","708430","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2008","2008","ha","23000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2008","2008","100 g/ha","338322","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2008","2008","t","778141","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2009","2009","ha","21000","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2009","2009","100 g/ha","389380","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2009","2009","t","817698","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2010","2010","ha","20449","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2010","2010","100 g/ha","354169","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2010","2010","t","724232","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2011","2011","ha","21919","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2011","2011","100 g/ha","356376","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2011","2011","t","781124","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2012","2012","ha","22900","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2012","2012","100 g/ha","347493","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2012","2012","t","795758","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2013","2013","ha","24819","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2013","2013","100 g/ha","364177","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2013","2013","t","903843","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2014","2014","ha","20829","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2014","2014","100 g/ha","373392","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2014","2014","t","777741","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2015","2015","ha","24626","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2015","2015","100 g/ha","379424","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2015","2015","t","934375","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2016","2016","ha","23757","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2016","2016","100 g/ha","385638","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2016","2016","t","916143","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2017","2017","ha","23727","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2017","2017","100 g/ha","391541","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2017","2017","t","929028","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2018","2018","ha","20870","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2018","2018","100 g/ha","397519","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2018","2018","t","829636","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2019","2019","ha","22060","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2019","2019","100 g/ha","405891","E","Estimated value",""
"QCL","Crops and livestock products","710","South Africa","5510","Production","01341","Apples","2019","2019","t","895399","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5312","Area harvested","01341","Apples","2020","2020","ha","24456","I","Imputed value",""
"QCL","Crops and livestock products","710","South Africa","5419","Yield","01341","Apples","2020","2020","100 g/ha","408405","E","Estimated value",""
