Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1975","1975","kg/ha","11.2869","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1975","1975","t","95191.704","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1975","1975","kg/ha","7.5759","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1976","1976","t","284463.45","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1976","1976","kg/ha","22.6142","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1976","1976","t","145101.8682","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1976","1976","kg/ha","11.5352","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1976","1976","t","97594.803","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1976","1976","kg/ha","7.7586","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1977","1977","t","308835.9","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1977","1977","kg/ha","24.5342","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1977","1977","t","144987.6798","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1977","1977","kg/ha","11.5179","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1977","1977","t","101055.2805","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1977","1977","kg/ha","8.0279","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1978","1978","t","341055.45","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1978","1978","kg/ha","27.0314","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1978","1978","t","158649.282","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1978","1978","kg/ha","12.5742","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1978","1978","t","97134.2775","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1978","1978","kg/ha","7.6987","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1979","1979","t","360129.15","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1979","1979","kg/ha","28.5228","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1979","1979","t","171898.4718","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1979","1979","kg/ha","13.6146","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1979","1979","t","94461.885","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1979","1979","kg/ha","7.4815","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1980","1980","t","419663.25","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1980","1980","kg/ha","33.2143","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1980","1980","t","179737.6428","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1980","1980","kg/ha","14.2254","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1980","1980","t","104265.8865","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1980","1980","kg/ha","8.2521","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1981","1981","t","475591.05","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1981","1981","kg/ha","37.614","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1981","1981","t","214952.9922","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1981","1981","kg/ha","17.0004","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1981","1981","t","117815.346","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1981","1981","kg/ha","9.3179","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1982","1982","t","428310","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1982","1982","kg/ha","33.8451","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1982","1982","t","197730.36","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1982","1982","kg/ha","15.6247","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1982","1982","t","114515.1","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1982","1982","kg/ha","9.049","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1983","1983","t","331110","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1983","1983","kg/ha","26.1644","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1983","1983","t","152094.24","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1983","1983","kg/ha","12.0185","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1983","1983","t","91591.911","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1983","1983","kg/ha","7.2376","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1984","1984","t","368190","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1984","1984","kg/ha","29.0944","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7280","Cropland phosphorus","5087","Mineral fertilizers","1984","1984","t","162178.92","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7281","Cropland phosphorus per unit area","5087","Mineral fertilizers","1984","1984","kg/ha","12.8154","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7282","Cropland potassium","5087","Mineral fertilizers","1984","1984","t","105197.3955","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7283","Cropland potassium per unit area","5087","Mineral fertilizers","1984","1984","kg/ha","8.3127","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7275","Cropland nitrogen","5087","Mineral fertilizers","1985","1985","t","341100","E","Estimated value",""
"ESB","Cropland Nutrient Balance","710","South Africa","7276","Cropland nitrogen per unit area","5087","Mineral fertilizers","1985","1985","kg/ha","26.9538","E","Estimated value",""
