"date","potential_evapotranspiration","cloud_cover","precipitation","maximum_temperature","rain_days","minimum_temperature","vapour_pressure","ground_frost_frequency","diurnal_temperature_range","mean_temperature","wheat_ton_per_hectare","gdd"
1975,-1.42510285832365,1.06746690793183,1.46318826783279,-1.25334889660121,1.18769037965913,-1.22895049066144,-1.29228130540937,0.717550847673083,-0.745425984568446,-1.30240231250256,-0.653309534661582,-0.636608745227499
1976,-2.3111142876292,2.63762336307626,2.8308075442903,-1.85224901029147,2.50865052602902,-1.09957395569482,-1.31764058909079,0.852728168654077,-1.84411289287141,-1.66058961515478,-0.481399019659569,0.158934229327566
1977,-0.612925714793556,0.877267543520009,1.24643879150261,-0.379952897469592,1.29479525639182,-0.30483238375698,-0.22719139078971,1.28078968509389,-0.310097209580478,-0.352427292424924,-0.580926159923892,0.769911233785842
1978,-0.76059428634448,0.602085484370988,0.372448967590601,-0.567109182997797,-0.204673017865895,-0.970197420728196,-0.785095631780964,1.32584879208755,0.125231565407487,-0.788481400001539,-0.716644987557061,-0.471135806520051
1979,-0.169920000140781,1.08770088286926,-0.715493565215068,-0.192796611941387,-0.276076269021025,0.157226669695254,-0.22719139078971,-0.904577004098843,-0.496666684575323,-0.0409600727273354,-0.535686550712836,-0.273841148830394
1980,0.0515828571856099,-0.199179923151166,-0.467979647083187,-0.155365354835748,-0.954407154994754,-0.748409075071121,-1.03868846859517,0.40213709871743,0.622750165393738,-0.399147375379559,-0.716644987557061,2.10005908724191
1981,-1.42510285832365,1.30622781219349,1.02968931517243,-1.29078015370686,1.116287128504,-1.17350340424717,-1.26692202172796,0.897787275647741,-0.807615809566728,-1.31797567348744,-0.354728113868611,0.0825621037702767
1982,-0.243754285916244,0.55352394452116,-1.19374079685972,-0.155365354835748,-0.900854716628408,-0.267867659480803,-0.506143511285337,-0.273749506187539,0.0630417404092048,-0.196693682576126,-0.436159410448512,-0.93573290366022
1983,0.199251428736535,0.650647024220813,-0.652566297893404,0.543351444469554,-0.168971392288331,0.951968241633092,1.21828777905126,-0.97216566458934,-0.185717559583918,0.722134615531747,-0.644261612819371,-0.617515713838194
1984,0.273085714511997,0.371418170084306,-0.898681832307026,0.331240987537584,-1.13291528288258,0.489909188180862,0.457509268608645,-0.701811022627352,0.000851915410927378,0.426240756819044,-0.436159410448512,-0.242019429848202
1985,-0.169920000140781,0.921782288382352,0.475929362741782,0.406103501748873,0.562911932051747,0.841074068804558,0.432149984927226,-0.408926827168532,-0.330827151246575,0.628694449622476,-0.761884596768117,-0.961190278845977
1986,-0.0222514285898564,0.796331643770298,-0.613411553782146,0.33124098753759,-0.561689273641543,0.711697533837933,0.203916431794437,-1.40022718102915,-0.247907384582196,0.488534200758564,-0.445207332290724,-0.891182497085123
1987,-0.0222514285898525,-0.344864542700651,0.0228530380257968,0.343718073239469,0.0809399867546234,1.02589769018545,1.42116204850263,-0.499045041155861,-0.621046334571883,0.644267810607355,0.0976679782419514,-0.757531277359885
1988,-0.982097143670868,0.889407928482465,1.5862460350396,-0.679402954314719,1.63396069937869,0.360532653214232,0.381431417564382,-0.228690399193874,-1.5538937095461,-0.274560487500525,0.0976679782419514,-0.0447247721585445
1989,-0.612925714793556,0.116470085872713,0.611572583412926,-0.741788382824123,0.384403804163924,-0.341797108033156,-0.176472823426872,-0.0033948642255511,-0.807615809566728,-0.601601068182992,-0.544734472555047,0.101655135159599
