date,ndvi
2014-07-02,0.0245118627670592
2014-07-07,0.007094153120296
2014-07-12,-0.009262103352338
2014-07-17,-0.0230342923672655
2014-07-22,-0.0340399025890243
2014-07-27,-0.0426412244055002
2014-08-01,-0.0488649686846317
2014-08-06,-0.0534704946314042
2014-08-12,-0.0578506977289838
2014-08-17,-0.0616518809213132
2014-08-22,-0.0659952283650351
2014-08-27,-0.0703369036860143
2014-09-01,-0.074558384410865
2014-09-06,-0.0775026133166767
2014-09-11,-0.07871258374329
2014-09-16,-0.0777903563354761
2014-09-21,-0.0747896717391204
2014-09-26,-0.0700497381529044
2014-10-01,-0.0638224944828783
2014-10-06,-0.0538554879641597
2014-10-11,-0.0397824030474144
2014-10-16,-0.0215692111729069
2014-10-22,0.000970451772485
2014-10-27,0.0273589275508088
