weather_temperature,weather_humidity,solar_radiation,soil_moisture,soil_temperature
25.8,50.4,71,48.74,25.56
25.8,50.3,71,48.74,25.56
25.8,50.2,71,48.74,25.56
25.8,50.2,71,48.74,25.56
25.8,50.2,71,48.74,25.56
25.8,50.2,71,48.74,25.56
25.8,50.4,72,48.74,25.56
25.8,50.4,72,48.74,25.56
25.8,50.5,72,48.74,25.56
25.8,50.6,71,48.74,25.56
25.8,50.5,72,48.74,25.56
25.8,50.5,72,48.74,25.56
25.8,50.4,72,48.74,25.56
25.8,50.4,71,48.74,25.56
25.8,50.4,71,48.74,25.56
25.8,50.3,71,48.74,25.5
25.8,50.3,69,48.74,25.56
25.8,50.1,69,48.74,25.56
25.8,50.1,71,48.74,25.56
25.8,50.1,71,48.74,25.56
25.8,50.2,71,48.74,25.56
25.8,50.1,71,48.74,25.56
25.9,50.2,71,48.74,25.56
25.9,50.3,71,48.74,25.56
25.8,50.2,72,48.74,25.62
25.8,50.2,68,48.74,25.56
25.8,50.3,69,48.74,25.56
25.8,50.8,16,59.66,25.56
25.8,50.8,68,56.85,25.56
25.8,50.7,69,54.82,25.56
25.8,50.4,69,53.24,25.56
25.8,50.3,68,52.16,25.56
25.8,50.3,69,50.99,25.56
25.9,50.1,69,50.79,25.56
25.8,50.2,68,50.7,25.56
25.9,50.3,69,50.48,25.56
25.9,50.3,69,50.45,25.56
25.9,50.2,69,50.62,25.56
25.9,50.2,69,50.43,25.5
25.9,50.1,68,50.38,25.56
25.7,50.3,68,50.11,25.62
25.8,50.3,69,50.16,25.56
25.8,50.4,70,49.43,25.5
25.8,50.3,70,50.23,25.56
25.8,50.3,70,50.21,25.56
25.8,50.4,69,50.18,25.56
25.8,50.4,70,50.01,25.56
25.8,50.3,69,50.01,25.56
25.8,50.3,69,50.01,25.56
25.8,50.3,69,49.87,25.56
25.8,50.3,69,49.55,25.56
25.8,50.3,69,47.72,25.62
25.8,50.2,69,50.23,25.56
25.9,50.1,69,47.62,25.62
25.8,50.1,70,46.84,25.56
25.8,50,69,46.15,25.56
25.8,50.1,69,46.79,25.56
25.8,50.1,68,46.76,25.62
25.8,50,67,46.25,25.62
25.8,50,68,46.89,25.56
25.8,50,69,46.74,25.62
25.8,50,68,46.47,25.56
25.8,50.1,67,46.98,25.62
25.8,50.2,67,47.89,25.56
25.9,50.2,68,47.99,25.62
25.8,50.1,68,48.03,25.62
25.8,50.1,69,47.77,25.62
25.8,50.1,69,47.47,25.56
25.8,50.1,69,47.57,25.56
25.9,50.1,68,47.81,25.56
25.9,50.1,67,47.96,25.62
25.9,50,68,48.03,25.56
25.9,49.9,69,48.21,25.56
25.8,49.9,69,48.13,25.62
25.9,50.1,69,48.5,25.56
25.9,50.1,69,48.47,25.56
25.9,50.2,69,48.42,25.56
25.9,50.3,69,48.42,25.62
25.9,50.2,69,48.47,25.56
25.8,50.1,69,48.74,25.62
25.9,50.1,68,48.5,25.56
25.9,50.1,69,50.45,25.56
25.9,50.1,69,50.62,25.56
25.9,50.1,69,50.43,25.56
25.9,50.1,68,50.38,25.56
25.9,50.3,69,50.11,25.56
25.9,50.3,68,50.16,25.56
25.9,50.3,68,49.43,25.56
25.9,50.1,68,50.23,25.69
25.9,50.1,69,50.21,25.56
25.9,49.8,71,50.18,25.56
25.9,49.8,71,50.01,25.56
25.9,49.9,71,50.01,25.62
25.9,49.9,70,50.01,25.56
25.9,49.9,69,49.87,25.56
25.9,50,68,49.55,25.56
25.9,50.1,70,47.72,25.62
26,50.3,70,50.23,25.62
25.9,50.1,70,47.62,25.62
25.9,50.2,69,46.84,25.56
25.9,50.1,68,46.15,25.56
25.9,50.1,67,46.79,25.56
26,50.2,69,46.76,25.62
26,50,69,46.25,25.56
26,50,69,46.89,25.56
26,49.7,68,46.74,25.62
26,49.8,68,46.47,25.69
26,49.8,69,46.98,25.62
26,49.7,69,47.89,25.62
26,49.9,70,47.99,25.62
26,50,62,48.03,25.62
26,50.1,56,47.77,25.62
26,50.1,64,47.47,25.62
26,49.9,68,47.57,25.69
26,49.6,68,47.81,25.69
26,49.5,70,47.96,25.62
26,49.6,69,48.03,25.69
26,49.5,23,48.21,25.69
26,49.8,47,48.13,25.69
26,49.9,68,48.5,25.62
26,49.7,68,48.47,25.69
26,49.4,69,48.42,25.62
26,49.3,69,48.42,25.69
26,49.3,69,48.47,25.69
26.1,49.4,68,48.74,25.62
26,49.6,69,48.74,25.62
26,49.5,70,59.66,25.62
26,49.3,70,56.85,25.69
26.1,49.4,70,54.82,25.69
26,49.4,69,53.24,25.62
26,49.4,69,52.16,25.69
26.1,49.4,70,50.99,25.62
26.1,49.5,69,50.79,25.62
26.1,49.6,69,50.7,25.62
26.1,49.8,70,50.48,25.69
26.1,49.5,69,50.45,25.62
26,49.4,69,50.62,25.62
26.1,49.5,69,50.43,25.62
26.1,49.4,69,50.38,25.62
26.1,49.4,67,50.11,25.75
26,49.4,69,50.16,25.69
26.1,49.6,69,49.43,25.62
26.1,49.7,69,50.23,25.69
26.1,49.7,69,50.21,25.62
26,49.6,69,50.18,25.62
26.1,49.5,70,50.01,25.69
26.1,49.5,69,50.01,25.62
26.1,49.5,69,50.01,25.62
26.1,49.5,69,49.87,25.62
26.1,49.3,70,49.55,25.69
26.1,49.3,70,47.72,25.69
26,49.6,69,50.23,25.69
26.1,49.6,68,47.62,25.69
26.1,49.5,68,46.84,25.69
26.1,49.7,68,46.15,25.62
26.1,49.9,69,46.79,25.62
26,50,69,46.76,25.62
26.1,49.9,43,46.25,25.62
26.1,49.8,67,46.89,25.75
26.1,49.8,67,46.74,25.69
26.1,49.8,68,46.47,25.69
26.1,49.8,69,46.98,25.69
26.1,49.6,68,47.89,25.69
26.1,49.5,69,47.99,25.69
26.1,49.4,69,48.03,25.69
26,49.5,68,47.77,25.69
26.1,49.6,69,47.47,25.69
26.1,49.6,69,47.57,25.69
26,49.7,68,47.81,25.75
26,49.7,69,47.96,25.75
26.1,49.8,69,48.03,25.75
26.1,49.8,35,48.21,25.69
26.1,49.9,39,48.13,25.75
26.1,49.6,67,48.5,25.75
26.1,49.6,67,48.47,25.69
26.1,49.6,68,48.42,25.69
26.1,49.4,68,48.42,25.75
26.1,49.4,69,48.47,25.69
26.1,49.3,68,48.74,25.69
26.1,49.3,69,48.5,25.69
26.1,49.3,69,50.45,25.69
26.1,49.3,68,50.62,25.69
26.1,49,69,50.43,25.69
26.1,48.9,69,50.38,25.75
26.1,49.1,68,50.11,25.75
26.1,49.1,69,50.16,25.69
26.1,48.9,69,49.43,25.69
26.1,48.8,69,48.74,25.69
26.1,49,69,48.74,25.69
26.1,49.2,69,48.74,25.69
26.1,49.2,69,48.74,25.69
26.1,49.2,70,48.74,25.69
26.1,49.1,70,48.74,25.69
26,49.1,70,48.74,25.69
26.1,49.3,70,48.74,25.69
26.1,49.3,70,48.74,25.69
26.1,49.2,71,48.74,25.75
25.9,49.9,69,48.74,25.81
25.9,49.9,70,48.74,25.75
25.9,49.7,71,48.74,25.75
25.9,49.7,70,48.74,25.75
25.9,49.7,71,48.74,25.75
25.9,49.8,70,48.74,25.75
25.9,49.7,71,48.74,25.75
25.9,49.9,71,48.74,25.75
25.9,50,71,48.74,25.69
25.9,49.8,70,48.74,25.75
25.9,49.8,70,48.74,25.69
25.9,49.8,70,48.74,25.69
25.9,49.7,71,48.74,25.69
25.9,49.7,70,48.74,25.69
25.9,49.7,71,48.74,25.75
25.9,49.6,70,48.74,25.69
25.9,49.5,71,48.74,25.75
25.9,49.4,70,48.74,25.69
25.9,49.4,70,48.74,25.75
25.9,49.5,70,48.74,25.75
25.9,49.4,70,48.74,25.75
25.9,49.4,70,48.74,25.75
25.9,49.5,70,48.74,25.69
25.9,49.6,71,48.74,25.75
25.9,49.7,70,48.74,25.75
25.9,49.6,71,48.74,25.75
25.9,49.7,71,48.74,25.69
25.9,49.6,70,48.74,25.69
25.9,49.6,71,48.74,25.69
25.9,49.6,71,48.74,25.69
26,49.6,70,48.74,25.69
25.9,49.4,70,48.74,25.69
25.9,49.5,71,48.74,25.75
25.9,49.7,70,48.74,25.69
26,49.7,70,48.74,25.69
25.9,49.7,70,48.74,25.69
25.9,49.7,70,48.74,25.75
25.9,49.7,70,48.74,25.69
25.9,49.8,70,48.74,25.75
