YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2002,22.7,23.1,22.0,19.5,14.6,11.2,10.9,13.9,16.6,19.3,20.1,22.7
2003,24.1,24.1,22.0,20.0,15.0,11.6,11.8,12.2,16.2,19.7,21.5,22.9
2004,23.7,23.7,21.4,18.8,16.2,12.7,11.1,14.7,15.8,19.5,23.2,23.4
2005,23.9,24.1,21.5,18.1,15.6,12.6,13.2,14.2,17.8,19.7,21.3,22.2
2006,23.8,23.3,20.4,18.2,13.3,12.4,12.8,13.0,16.9,19.9,21.3,22.9
2007,24.1,24.2,21.9,19.5,15.2,12.4,11.8,13.8,17.9,18.8,20.4,22.2
2008,23.5,23.7,21.6,18.0,16.3,12.8,12.4,14.6,15.5,19.7,21.5,23.5
2009,23.7,23.3,21.6,19.6,15.4,12.9,11.8,14.4,16.9,19.7,20.5,22.8
2010,23.6,23.8,22.7,18.9,16.1,12.0,13.1,14.3,17.6,19.2,21.5,22.5
2011,23.2,23.4,22.8,18.0,15.1,11.6,11.1,13.5,17.1,18.9,20.3,22.2
2012,24.6,23.5,22.3,17.9,15.5,12.2,11.8,13.7,15.6,18.9,21.4,22.7
2013,24.1,23.7,22.4,18.1,15.7,12.5,12.6,13.0,15.9,18.9,21.5,22.5
2014,24.5,23.9,21.5,18.4,16.1,12.0,11.9,14.3,17.6,20.0,20.4,22.9
2015,24.3,23.0,22.5,18.5,16.8,12.2,12.3,15.5,17.5,20.9,20.8,24.5
2016,24.8,24.4,22.3,19.3,15.6,13.5,12.0,15.1,16.9,19.7,22.3,24.2
2017,23.2,23.7,22.2,19.5,16.1,13.1,12.9,13.9,18.2,18.5,20.8,22.6
2018,24.1,23.5,22.0,19.6,16.0,13.2,13.1,13.2,16.0,20.2,21.4,23.9
2019,24.3,24.1,23.3,19.8,17.1,13.4,13.5,14.9,18.0,20.1,22.5,22.5
2020,24.2,23.8,22.2,18.7,15.6,13.0,12.4,12.8,16.7,20.2,21.4,22.8
2021,23.4,23.1,21.8,19.9,15.5,13.8,11.1,13.4,17.3,18.4,20.2,21.5
2022,23.5,23.5,21.4,17.7,15.2,12.9,13.0,13.8,17.6,21.5,21.0,22.2
