YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2012,48.8,64.2,58.2,26.7,6.6,26.7,23.6,15.4,30.5,65.9,38.4,81.7
2013,63.6,42.2,56.8,36.1,10.7,13.9,10.1,17.9,11.5,39.4,55.1,87.2
2014,61.3,78.1,37.0,41.1,18.6,11.8,11.2,19.2,18.2,25.6,68.0,79.7
2015,44.5,43.0,59.0,40.3,8.9,28.7,22.9,14.4,26.6,28.0,45.3,30.7
2016,73.9,43.4,61.6,27.9,27.2,10.9,21.2,10.9,19.3,29.2,52.9,64.1
2017,88.0,82.8,31.6,33.1,14.5,9.2,6.4,13.1,15.5,42.2,51.5,57.3
2018,51.5,79.5,60.5,35.2,20.2,6.9,10.1,17.7,20.7,29.2,28.1,42.4
2019,53.3,65.0,47.9,49.5,12.9,8.3,11.7,6.4,12.6,18.6,46.6,65.1
2020,71.7,80.9,55.0,32.6,9.6,12.1,11.4,14.1,21.2,37.1,62.8,67.6
2021,110.8,70.2,45.0,26.8,12.0,13.6,10.3,20.8,14.0,36.6,59.0,119.1
2022,61.4,50.1,80.1,59.7,31.0,28.3,8.9,17.0,21.0,26.3,50.6,89.4
