YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1984,16.6,16.7,15.8,10.9,7.4,4.5,4.3,5.9,9.1,12.0,13.7,14.9
1985,17.5,17.1,14.0,10.9,7.1,4.2,3.5,6.4,9.3,13.1,15.2,15.4
1986,16.8,15.7,14.5,12.1,7.8,5.1,3.9,6.6,9.2,12.0,13.3,16.0
1987,16.3,17.4,15.3,12.2,8.6,4.0,3.6,5.8,9.3,11.7,14.4,16.1
1988,16.9,17.5,16.0,11.2,7.8,3.9,3.4,6.5,8.5,10.8,13.5,15.1
1989,16.6,16.1,14.3,11.5,8.1,4.2,3.3,6.3,7.8,10.3,13.4,15.4
1990,16.5,15.6,14.7,12.0,7.1,3.7,3.7,5.6,8.5,11.3,13.5,15.7
1991,16.9,16.3,14.8,11.0,7.5,4.6,3.8,4.8,9.1,12.4,13.8,15.3
1992,16.8,16.9,15.1,12.2,6.6,4.0,4.0,5.7,9.7,11.7,13.4,15.8
1993,17.1,16.2,15.2,11.2,7.8,4.2,5.7,6.2,9.5,12.9,14.1,16.1
1994,16.5,16.3,14.6,11.6,6.7,3.4,2.2,5.2,9.0,10.7,13.8,15.6
1995,17.3,17.4,15.5,10.9,8.3,3.9,3.3,6.2,9.7,11.3,14.2,14.8
1996,17.3,16.6,13.9,11.4,8.4,4.5,3.1,4.8,8.2,12.0,13.0,15.4
1997,16.7,16.1,14.6,9.7,6.9,4.4,4.4,6.5,10.1,12.4,13.4,16.0
1998,16.4,17.6,15.4,12.2,7.2,3.9,4.7,6.2,8.9,11.8,13.8,15.7
1999,17.3,17.1,16.2,12.4,8.3,4.9,5.4,5.7,8.1,12.2,14.8,16.3
2000,15.9,17.3,16.0,11.1,6.3,4.9,3.4,6.0,8.0,12.0,13.3,15.3
2001,15.8,16.3,15.3,12.3,7.6,4.9,3.7,5.6,8.2,12.8,14.4,15.3
2002,15.6,16.1,14.8,12.0,7.0,4.1,3.0,6.6,9.0,11.5,12.4,15.9
2003,16.8,17.4,14.7,12.9,7.5,3.8,3.3,4.2,8.6,12.3,14.4,15.5
2004,16.9,17.4,14.9,12.3,8.4,5.2,3.2,6.8,7.9,12.2,15.8,16.4
2005,17.2,17.3,14.7,11.6,8.3,4.8,4.5,6.0,9.5,11.8,14.1,14.9
2006,17.6,17.5,13.9,11.6,6.1,4.4,4.6,5.7,8.8,12.5,14.1,15.7
2007,16.8,16.8,14.6,12.7,7.0,4.7,3.5,5.4,9.7,12.1,13.3,15.6
2008,17.2,16.9,14.8,10.4,9.3,5.4,4.7,6.5,7.4,12.0,14.6,16.5
2009,16.8,17.1,14.6,12.4,8.1,6.1,4.2,6.3,8.8,12.7,13.3,15.3
2010,17.2,16.9,15.7,12.1,8.8,3.9,5.2,6.0,9.3,11.5,14.1,15.7
2011,17.0,17.0,16.0,11.3,8.0,3.9,3.2,5.2,8.6,10.9,12.5,15.2
2012,17.2,16.5,14.9,10.3,7.4,4.6,4.0,5.7,7.6,11.4,13.8,15.8
2013,16.8,16.1,15.1,10.6,7.7,5.0,4.5,4.9,7.6,11.1,14.0,15.9
2014,17.8,17.6,15.0,11.0,8.3,3.8,3.7,6.5,9.2,12.1,13.6,15.9
2015,17.1,15.5,15.3,11.8,8.5,4.8,4.9,7.0,9.8,12.9,13.2,16.9
2016,18.0,17.2,15.1,12.3,8.1,5.6,4.2,6.4,8.9,11.4,14.9,16.7
2017,16.7,17.6,14.7,12.2,8.2,4.8,4.3,5.6,9.8,10.9,13.1,15.3
2018,16.8,16.9,15.2,12.9,8.3,5.2,5.4,5.1,7.7,12.4,13.6,16.4
2019,16.9,17.4,16.3,13.0,9.6,4.9,4.9,6.4,9.7,12.3,14.9,15.6
2020,17.5,17.5,15.3,11.8,7.3,5.3,4.1,4.7,8.7,12.6,14.4,16.1
2021,17.1,16.4,14.6,12.8,7.5,5.8,2.7,5.2,9.1,11.1,12.9,14.9
2022,16.8,16.6,15.0,11.0,7.2,4.9,5.0,5.5,9.3,13.7,13.7,15.5
