YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1989,0.0,0.0,0.0,0.2,2.2,8.8,10.6,4.9,2.5,0.7,0.0,0.0
1990,0.0,0.0,0.0,0.2,3.5,9.5,9.9,5.7,1.6,0.4,0.1,0.0
1991,0.0,0.0,0.0,0.4,3.2,7.7,9.7,7.7,1.4,0.1,0.0,0.0
1992,0.0,0.0,0.0,0.1,4.4,8.9,9.1,5.5,1.3,0.3,0.0,0.0
1993,0.0,0.0,0.0,0.3,2.9,8.5,5.9,4.7,1.0,0.1,0.0,0.0
1994,0.0,0.0,0.0,0.3,4.2,10.0,12.9,6.6,1.2,0.5,0.0,0.0
1995,0.0,0.0,0.0,0.5,2.1,9.1,10.7,4.7,0.9,0.4,0.0,0.0
1996,0.0,0.0,0.0,0.3,1.9,7.8,10.9,7.4,2.0,0.2,0.1,0.0
1997,0.0,0.0,0.0,0.9,3.9,8.0,8.3,4.3,0.8,0.1,0.0,0.0
1998,0.0,0.0,0.0,0.1,3.6,9.1,7.6,4.8,1.5,0.2,0.0,0.0
1999,0.0,0.0,0.0,0.1,2.1,7.0,6.2,5.7,2.0,0.1,0.0,0.0
2000,0.0,0.0,0.0,0.3,4.7,7.3,10.4,5.1,2.2,0.2,0.0,0.0
2001,0.0,0.0,0.0,0.1,2.8,6.9,9.7,5.9,1.8,0.1,0.0,0.0
2002,0.0,0.0,0.0,0.2,3.6,8.6,11.3,4.3,1.2,0.3,0.1,0.0
2003,0.0,0.0,0.0,0.1,3.0,9.2,10.4,8.4,1.6,0.2,0.0,0.0
2004,0.0,0.0,0.0,0.1,2.0,6.5,10.8,4.0,2.3,0.1,0.0,0.0
2005,0.0,0.0,0.0,0.2,2.3,7.5,8.1,5.5,1.1,0.3,0.0,0.0
2006,0.0,0.0,0.0,0.2,5.2,8.2,8.0,5.7,1.4,0.1,0.0,0.0
2007,0.0,0.0,0.0,0.1,3.7,7.5,10.0,6.3,0.9,0.2,0.0,0.0
2008,0.0,0.0,0.0,0.6,1.2,6.1,7.7,4.4,3.2,0.2,0.0,0.0
2009,0.0,0.0,0.0,0.1,2.3,4.9,8.7,4.7,1.6,0.1,0.1,0.0
2010,0.0,0.0,0.0,0.1,1.8,9.0,6.7,5.0,1.1,0.3,0.0,0.0
2011,0.0,0.0,0.0,0.3,2.5,9.0,10.7,6.5,1.6,0.4,0.1,0.0
2012,0.0,0.0,0.0,0.8,3.2,7.7,9.3,5.9,2.7,0.3,0.0,0.0
2013,0.0,0.0,0.0,0.6,3.0,6.8,8.1,7.3,2.9,0.3,0.0,0.0
2014,0.0,0.0,0.0,0.4,2.2,9.3,9.8,4.3,1.2,0.1,0.0,0.0
2015,0.0,0.0,0.0,0.2,2.0,7.4,7.2,3.7,0.8,0.1,0.1,0.0
2016,0.0,0.0,0.0,0.1,2.3,5.7,8.8,4.4,1.4,0.3,0.0,0.0
2017,0.0,0.0,0.0,0.1,2.3,7.4,8.7,6.1,0.7,0.5,0.0,0.0
2018,0.0,0.0,0.0,0.1,2.3,6.8,6.6,7.2,2.7,0.1,0.0,0.0
2019,0.0,0.0,0.0,0.1,1.0,7.3,7.4,4.7,0.7,0.2,0.0,0.0
2020,0.0,0.0,0.0,0.2,3.3,6.3,8.7,7.7,1.6,0.1,0.0,0.0
2021,0.0,0.0,0.0,0.0,3.2,5.8,11.8,6.7,1.3,0.4,0.1,0.0
2022,0.0,0.0,0.0,0.4,3.5,7.1,7.1,6.2,1.1,0.0,0.0,0.0
