YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1991,11.1,7.5,9.1,1.9,2.5,4.4,2.3,1.6,5.4,9.4,6.5,8.1
1992,5.1,5.9,6.7,3.6,1.5,2.7,2.6,3.9,2.3,7.3,7.5,5.6
1993,6.7,7.8,6.4,6.1,3.6,2.7,2.2,3.7,3.4,8.0,7.6,9.1
1994,9.5,8.8,7.8,4.3,1.6,2.7,3.1,2.5,2.2,5.2,5.6,6.9
1995,8.1,6.0,9.4,4.8,5.2,1.9,1.8,3.4,4.0,6.8,8.8,11.1
1996,10.1,10.4,6.6,5.5,3.6,1.5,5.0,4.0,3.7,8.2,10.9,8.7
1997,8.5,6.1,10.2,6.1,6.0,4.5,3.1,3.0,3.3,5.9,7.2,6.0
1998,8.9,8.3,8.1,3.5,3.3,1.1,2.6,2.9,5.1,6.9,9.1,9.7
1999,7.8,6.1,6.2,4.7,4.8,1.9,2.5,2.6,3.6,7.1,6.8,11.7
2000,10.7,10.1,11.1,6.2,3.0,2.6,2.9,1.7,5.2,6.8,7.8,7.9
2001,4.6,6.9,6.8,8.4,3.8,2.6,3.8,3.3,5.5,8.0,10.6,9.9
2002,8.1,6.3,5.3,4.8,4.9,3.8,2.8,4.9,4.8,5.9,6.0,9.0
2003,6.9,7.9,6.5,4.1,3.2,3.2,1.7,3.7,4.4,6.3,6.4,6.0
2004,9.8,8.6,8.5,5.2,1.9,2.6,3.1,2.4,4.3,5.8,5.8,8.5
2005,9.8,7.0,8.1,6.9,3.4,2.8,1.0,2.5,2.4,5.8,7.7,6.3
2006,9.7,10.2,7.6,7.3,4.9,2.4,2.3,6.0,3.3,7.6,8.0,8.3
2007,5.8,5.4,7.0,6.0,2.2,3.7,2.1,2.7,4.0,8.7,7.3,9.1
2008,9.9,9.0,7.8,5.5,4.2,4.7,2.6,2.6,3.0,5.0,9.1,7.5
