datetime,tempmax,tempmin,temp,dew,humidity,precip,precipprob,sealevelpressure,cloudcover,visibility,solarradiation,uvindex
2022-05-04,21.9,8.3,14.4,4.5,55.7,0,0,1027.8,10.3,10,163.8,7
2022-05-05,21.9,9,14.7,4.7,54.6,0,0,1027.2,6.7,10.1,194,7
2022-05-06,22.1,8.2,14.9,4.4,52.8,0,0,1023.8,6.3,10.7,201.8,7
2022-05-07,21.7,7.4,14.2,3.9,54.2,0,0,1021.7,21.1,10.2,155.8,7
2022-05-08,13.7,6.2,10,5.8,75.4,1,100,1022.3,51,10.1,79.2,3
2022-05-09,19,4.9,11.3,4.4,67.1,0.863,100,1023,10.8,9.9,202.3,8
2022-05-10,21.7,6.2,13.1,3.8,56.8,0,0,1023.4,4.4,10.2,196.5,7
2022-05-11,23,7.3,14.2,6,61.9,0,0,1022.9,28.9,10.1,191.3,7
2022-05-12,22.9,8.1,15.2,5.4,56.4,0,0,1024.5,16,9.7,173.7,7
2022-05-13,22.9,7.9,15,6.2,59,0,0,1024.6,22.1,10.1,178.6,7
2022-05-14,22.7,8.5,15.4,6.6,59.5,0,0,1025.1,45.9,10.2,159.9,7
2022-05-15,20.9,9.1,13.6,7.1,65.9,0.2,100,1029.3,30.1,9.9,141.2,6
2022-05-16,17.7,8.1,13,6.5,66.2,0.1,100,1032.3,50.4,10.2,180.9,8
2022-05-17,17.9,9,12.2,7.8,75.6,0.2,100,1029.7,35.7,9.9,156.6,7
2022-05-18,18.7,6.1,11.7,6.4,72.5,0.2,100,1025.4,29.8,9.9,146.8,6
2022-05-19,18.5,6.3,11.7,5.8,70.1,0,0,1022.5,33.8,10.2,170.9,7
2022-05-20,20,7.1,12,6.7,73.4,2,100,1018.4,35.7,10,163.2,7
2022-05-21,11.1,3.2,8.5,5.8,83.7,22.008,100,1018.1,68.7,10.2,47.7,3
2022-05-22,14.1,2.9,8.8,4.8,77.7,0.2,100,1022.6,49.2,9.2,141.5,6
2022-05-23,18.6,5.1,10.8,6,75.4,0.663,100,1022.9,29.7,9.4,175,7
2022-05-24,22,7.1,13.3,4.4,59.1,0,0,1023.7,0.5,10.2,180.8,7
2022-05-25,23.9,6.3,14.1,3.2,52.6,0,0,1025.3,0,10.2,180.4,6
2022-05-26,22.9,8.1,14.5,2.1,47,0,0,1026.5,0,10.2,178.6,7
2022-05-27,21.9,7.2,13.6,3.5,53.6,0,0,1027.1,0,10.8,173.2,6
2022-05-28,20.7,7.2,12.7,7.2,71.6,0,0,1025.3,8.4,9.5,153.9,6
2022-05-29,20.7,6.3,12.8,6.5,68.9,0,0,1023,2.5,9.1,170.2,6
2022-05-30,18.1,4,10.2,-1,49.8,0,0,1026.1,0,10.2,177.5,6
2022-05-31,14.3,4.8,9.2,-3.2,47.8,0,0,1028.8,17.8,9.8,179.4,7
